,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-01-29,5.14,-2.81,13.97,0.8560417338561329,-2.42,-7.56,True
2017-03-12,2.72,-1.19,8.41,0.6393869782778396,1.5,-1.2200000000000002,True
2017-04-23,2.15,-1.3,6.81,0.5731965322398979,-0.35,-2.5,True
2017-06-04,2.98,-0.52,7.84,0.9366944646995125,4.63,1.65,True
2017-07-16,1.37,-3.1,5.04,0.28338022366854915,-3.1,-4.470000000000001,True
2017-08-27,1.94,-2.07,5.03,0.5387499620156493,1.13,-0.81,True
2017-10-08,1.55,-1.42,3.79,0.5042733012896412,3.37,1.82,True
2017-11-19,1.88,-0.29,4.03,0.8671149251856102,0.26,-1.6199999999999999,True
2017-12-31,1.18,-1.09,3.82,0.30085966852895984,-0.6,-1.7799999999999998,True
2018-02-11,1.37,-2.22,4.46,0.3301597999567186,-5.02,-6.39,False
2018-03-25,1.41,-1.54,4.82,0.3704889144933168,4.24,2.83,True
2018-05-06,,,,,,,False
2018-06-17,1.89,-4.33,10.32,0.2515350033565901,9.72,7.830000000000001,True
2018-07-29,2.47,-1.59,9.44,0.5567553394475993,-1.13,-3.6,True
2018-09-09,3.33,-0.15,8.62,0.9967900059959758,2.52,-0.81,True
2018-10-21,4.13,-0.13,8.44,1.3490273470827578,-1.13,-5.26,False
2018-12-02,2.35,-2.3,6.54,0.6729804486565271,2.19,-0.16000000000000014,True
2019-01-13,,,,,,,False
2019-02-24,1.31,-2.88,4.51,0.2683583723122465,4.02,2.7099999999999995,True
2019-04-07,1.31,-0.3,3.87,0.48648742322971367,-0.87,-2.18,False
2019-05-19,1.4,-0.4,3.1,0.5768125206256836,0.17,-1.23,True
2019-06-30,2.11,-0.28,4.01,1.142431487282105,1.62,-0.48999999999999977,True
2019-08-11,2.56,0.86,4.28,1.6380823424480215,4.91,2.35,False
2019-09-22,2.86,0.41,6.57,1.0941856344220013,2.59,-0.27,True
2019-11-03,2.34,-1.87,6.21,0.7165937776319133,-3.89,-6.23,False
2019-12-15,3.16,0.79,5.93,1.451422769882852,4.56,1.3999999999999995,True
2020-01-26,2.64,0.95,5.68,1.339572531189393,1.74,-0.9000000000000001,True
2020-03-08,2.72,-3.58,6.09,0.7584351397884125,-9.69,-12.41,False
2020-04-19,3.04,-3.8,9.41,0.6121634235427649,12.2,9.16,False
2020-05-31,5.45,-1.35,14.21,0.9804627541390559,-2.22,-7.67,False
2020-07-12,4.94,-3.18,12.74,0.8623854657795251,7.28,2.34,True
2020-08-23,4.13,-1.97,13.07,0.7260870872824717,-0.89,-5.02,True
2020-10-04,5.11,1.12,10.11,1.4752763114604688,-0.03,-5.140000000000001,False
2020-11-15,3.42,1.21,5.78,1.8645552875634148,2.63,-0.79,True
2020-12-27,3.4,1.37,5.55,2.0710728044520614,4.1,0.6999999999999997,True
2021-02-07,4.11,1.9,6.11,2.5616119205664143,5.25,1.1399999999999997,True
2021-03-21,5.01,2.38,7.09,2.9328980610726227,5.69,0.6800000000000006,True
2021-05-02,4.71,2.74,6.48,3.5520607409490115,3.79,-0.9199999999999999,True
2021-06-13,3.4,1.4,5.75,2.0325482853334575,2.96,-0.43999999999999995,True
2021-07-25,3.07,1.1,5.45,1.8438369471405012,2.99,-0.07999999999999963,True
2021-09-05,2.76,1.27,4.41,1.9265269412090884,-0.29,-3.05,False
2021-10-17,2.73,1.04,4.43,2.008525626325579,4.72,1.9899999999999998,False
2021-11-28,4.12,2.67,5.85,3.19106048379993,-0.49,-4.61,False
2022-01-09,2.55,-0.7,6.68,0.9436177134948647,-0.12,-2.67,True
2022-02-20,2.36,-1.38,6.14,0.7067179204582545,2.23,-0.1299999999999999,True
2022-04-03,3.08,0.47,5.55,1.2859608862805731,4.5,1.42,True
2022-05-15,2.85,0.2,5.78,1.2218845692864355,3.72,0.8700000000000001,True
2022-06-26,5.51,1.46,8.15,2.16613491388013,1.12,-4.39,False
2022-08-07,3.27,-1.84,8.64,0.732301513267336,-0.85,-4.12,True
2022-09-18,2.51,-1.76,8.39,0.602070967255562,4.26,1.75,True
2022-10-30,1.86,-1.42,5.01,0.533249404088774,3.01,1.1499999999999997,True
2022-12-11,1.92,0.23,3.79,1.0123277413844942,0.7,-1.22,True
2023-01-22,2.38,0.48,4.15,1.4471887715109346,3.33,0.9500000000000002,True
2023-03-05,2.65,0.71,4.74,1.56425230293218,3.47,0.8200000000000003,True
2023-04-16,2.99,-2.6,8.95,0.6800742780807103,-1.9,-4.890000000000001,True
2023-05-28,3.38,-6.19,13.78,0.43907239103996665,6.55,3.17,True
2023-07-09,4.64,-1.9,14.36,0.828375972034875,2.35,-2.2899999999999996,True
2023-08-20,3.02,-2.51,9.0,0.6313850439850535,-4.23,-7.25,False
2023-10-01,2.56,-1.04,7.5,0.6923023842373902,6.36,3.8000000000000003,True
2023-11-12,2.7,-7.23,9.72,0.37992303349478734,-2.1,-4.800000000000001,True
2023-12-24,1.22,-7.65,6.12,0.1451413063059233,3.29,2.0700000000000003,True
2024-02-04,2.52,-8.25,8.75,0.38818829355939966,7.86,5.34,True
2024-03-17,2.85,-8.04,11.79,0.40165482829997423,2.45,-0.3999999999999999,True
2024-04-28,3.35,-0.49,6.13,1.4331184414188507,2.77,-0.5800000000000001,True
2024-06-09,2.71,1.36,4.3,2.4555546129765995,2.15,-0.56,True
2024-07-21,2.66,1.45,3.94,2.4955670578062175,-0.71,-3.37,False
2024-09-01,1.82,-0.26,3.66,0.9079935365651417,2.49,0.6700000000000002,True
2024-10-13,1.93,-0.01,4.09,0.9739166390431725,0.8,-1.13,True
2024-11-24,1.9,0.21,3.86,1.0013345430133205,5.43,3.53,False
2025-01-05,2.59,-1.18,5.2,0.9210771146369027,-0.47,-3.0599999999999996,True
