,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-04-30,3.7,-1.27,7.13,0.8761666751608658,-3.13,-6.83,False
2018-07-31,4.4,-1.25,10.57,0.9163407753433304,7.07,2.67,True
2018-10-31,4.05,-3.69,11.01,0.6454785222282726,-3.92,-7.97,False
2019-01-31,2.46,-8.62,14.81,0.13925170116908733,-1.82,-4.28,True
2019-04-30,3.99,-9.98,17.27,0.3109969005818592,13.73,9.74,True
2019-07-31,3.13,-6.14,12.66,0.29447386920034063,5.36,2.2300000000000004,True
2019-10-31,5.32,-0.38,10.87,1.086932371109411,4.82,-0.5,True
2020-01-31,3.77,-1.36,9.78,0.6838906029675731,7.62,3.85,True
2020-04-30,4.73,-1.58,11.9,0.7526450868974747,8.39,3.66,True
2020-07-31,6.86,1.68,12.25,1.446231654598358,3.25,-3.6100000000000003,True
2020-10-31,6.84,1.86,12.22,1.3914540200942433,8.79,1.9499999999999993,True
2021-01-31,7.76,2.67,12.41,1.5008510459822464,7.11,-0.6499999999999995,True
2021-04-30,6.54,2.45,10.83,1.3188555313311652,2.96,-3.58,True
2021-07-31,4.99,0.91,9.34,1.15760742745198,5.07,0.08000000000000007,True
2021-10-31,5.51,2.98,8.22,2.4190205684906454,5.9,0.39000000000000057,True
2022-01-31,7.17,4.18,10.37,2.632304958752236,3.23,-3.94,False
2022-04-30,7.28,3.54,12.01,2.129019572860551,9.96,2.6800000000000006,True
2022-07-31,7.71,0.02,15.11,1.4029128367289274,-0.38,-8.09,False
2022-10-31,5.42,-0.17,10.89,1.2217260196865345,4.63,-0.79,True
2023-01-31,5.13,0.22,10.31,1.1263099124838614,-1.14,-6.27,False
2023-04-30,4.42,-0.06,9.24,1.0155395051037315,-0.91,-5.33,False
2023-07-31,4.3,-3.85,12.8,0.5798746455686847,7.03,2.7300000000000004,True
2023-10-31,3.2,-1.14,7.32,0.6153499403780918,-0.13,-3.33,True
2024-01-31,3.49,-3.17,10.11,0.47256526211403926,9.36,5.869999999999999,True
2024-04-30,5.5,-2.83,12.46,0.8343911820500166,7.89,2.3899999999999997,True
2024-07-31,7.23,-0.62,14.41,1.2353485194842175,4.34,-2.8900000000000006,True
2024-10-31,4.75,-1.27,10.87,0.890081172509578,3.74,-1.0099999999999998,True
