,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-03-12,2.52,-1.7,7.03,0.6243150357903533,1.24,-1.28,True
2017-04-23,2.28,-2.68,8.71,0.42931797373787933,-1.61,-3.8899999999999997,True
2017-06-04,2.57,-1.71,7.69,0.5960958820937031,3.05,0.48,True
2017-07-16,2.13,-3.41,6.91,0.4755833999799253,-3.74,-5.87,False
2017-08-27,1.25,-1.8,4.32,0.2965307413983065,1.32,0.07000000000000006,True
2017-10-08,1.85,-1.52,4.49,0.5794709314623008,3.91,2.06,True
2017-11-19,1.35,-1.75,4.08,0.3641889912823054,-1.56,-2.91,True
2017-12-31,1.16,-1.55,4.77,0.23586232281801206,-0.22,-1.38,True
2018-02-11,1.39,-1.42,4.79,0.3692081779562045,-4.25,-5.64,False
2018-03-25,0.9,-3.96,7.07,0.0656096671144472,2.6,1.7000000000000002,True
2018-05-06,,,,,,,False
2018-06-17,2.04,-3.81,10.22,0.30412583008960553,10.07,8.030000000000001,True
2018-07-29,2.51,-3.81,10.39,0.38453254762905514,-1.02,-3.53,True
2018-09-09,2.4,-4.18,9.21,0.41863665184025717,2.51,0.10999999999999988,True
2018-10-21,2.56,-1.51,8.1,0.6998159946092481,-0.25,-2.81,True
2018-12-02,2.56,-1.93,6.56,0.7784631565312876,2.15,-0.41000000000000014,True
2019-01-13,1.57,-4.97,8.17,0.23412270962440937,-4.97,-6.54,True
2019-02-24,,,,,,,False
2019-04-07,1.02,-3.61,5.54,0.11644165923014695,-1.61,-2.63,True
2019-05-19,1.34,-3.45,6.27,0.23028020174811611,-5.1,-6.4399999999999995,False
2019-06-30,1.58,-0.14,3.35,0.7421300603702065,1.19,-0.3900000000000001,True
2019-08-11,2.53,0.14,4.58,1.2830502371587922,4.86,2.3300000000000005,False
2019-09-22,2.74,0.46,4.81,1.455829060101684,2.37,-0.3700000000000001,True
2019-11-03,2.18,-1.69,5.9,0.5787730197637958,-3.79,-5.970000000000001,False
2019-12-15,1.64,-1.48,4.79,0.4557187837002325,1.61,-0.029999999999999805,True
2020-01-26,2.71,0.78,5.42,1.404898292440705,2.0,-0.71,True
