,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-01-31,9.54,6.47,12.71,3.3059397238506563,11.45,1.9100000000000001,True
2018-07-31,8.96,4.21,12.36,2.4355799142488626,4.02,-4.940000000000001,False
2019-01-31,9.23,-5.8,21.57,0.7255696941282056,-0.69,-9.92,True
2019-07-31,9.16,3.01,14.11,1.850471691503277,13.8,4.640000000000001,True
2020-01-31,9.26,6.74,11.99,4.001947729890408,9.48,0.22000000000000064,True
2020-07-31,13.89,7.68,19.13,3.162424245447805,12.74,-1.1500000000000004,True
2021-01-31,13.45,6.61,19.59,2.114289921485165,13.95,0.5,True
2021-07-31,12.08,9.8,14.43,6.042760187961153,13.1,1.0199999999999996,True
2022-01-31,16.23,13.36,19.6,6.5257065415619415,13.77,-2.460000000000001,True
2022-07-31,15.39,11.09,20.11,4.2166375133543,15.43,0.03999999999999915,True
2023-01-31,11.83,8.48,15.66,3.998299851587424,12.95,1.1199999999999992,True
2023-07-31,8.52,5.76,11.65,2.9973849611264223,5.76,-2.76,True
2024-01-31,11.17,5.4,18.12,2.228219242950962,8.79,-2.380000000000001,True
2024-07-31,16.3,8.64,22.41,3.1460850021002673,9.2,-7.100000000000001,True
