,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2016-10-31,1.46,-0.58,3.47,0.6519679401155917,-0.58,-2.04,True
2016-11-30,3.07,-0.14,6.76,1.0931262446347834,8.05,4.98,False
2016-12-31,5.55,1.33,9.36,2.0386925410867183,2.84,-2.71,True
2017-01-31,2.43,-0.47,5.12,0.9374566698624506,-1.49,-3.92,False
2017-02-28,1.28,-0.4,3.1,0.5907499291977731,1.78,0.5,True
2017-03-31,2.56,0.59,4.67,1.2460579348737237,0.54,-2.02,False
2017-04-30,1.51,0.57,2.38,1.3015796995016078,1.51,0.0,True
2017-05-31,1.74,0.14,3.04,1.0390270233616803,0.76,-0.98,True
2017-06-30,1.47,-0.23,3.0,0.7786093578761052,-0.42,-1.89,False
2017-07-31,2.65,-1.13,6.66,0.8220347598901508,-0.4,-3.05,True
2017-08-31,1.83,0.22,3.12,1.1798144807140625,2.73,0.8999999999999999,True
2017-09-30,1.99,0.21,3.43,1.1681706014154094,2.5,0.51,True
2017-10-31,1.66,-0.25,4.13,0.8620848916435023,1.36,-0.2999999999999998,True
2017-11-30,3.37,1.21,5.01,2.1426466782553426,0.27,-3.1,False
2017-12-31,1.27,-0.45,2.62,0.6107365579485702,-0.26,-1.53,True
2018-01-31,1.59,0.02,2.98,1.0141289698027363,2.4,0.8099999999999998,True
2018-02-28,2.13,0.16,4.69,1.0395324182655934,-0.7,-2.83,False
2018-03-31,0.98,-1.49,3.49,0.27020393912317564,0.47,-0.51,True
2018-04-30,1.4,-1.14,3.78,0.4924687688503772,1.93,0.53,True
2018-05-31,3.95,1.47,6.56,1.9083958509435708,3.09,-0.8600000000000003,True
2018-06-30,5.76,3.21,7.51,3.3295434647658593,3.54,-2.2199999999999998,True
2018-07-31,2.32,1.07,3.59,2.078093137626523,1.25,-1.0699999999999998,True
2018-08-31,2.35,0.93,3.46,2.1754798354354534,2.32,-0.03000000000000025,True
2018-09-30,1.92,-0.24,3.49,1.0892098749110681,1.32,-0.5999999999999999,True
2018-10-31,0.68,-2.91,3.75,0.06992043760819609,-0.47,-1.15,True
2018-11-30,1.68,0.04,2.92,1.0483917213547176,1.72,0.040000000000000036,True
2018-12-31,1.17,0.36,1.69,1.196539871656344,0.7,-0.47,True
2019-01-31,1.39,0.46,2.81,0.8223906352116893,1.97,0.5800000000000001,True
2019-02-28,2.8,1.91,3.88,2.615372519084521,-0.04,-2.84,False
2019-03-31,3.1,2.24,4.08,4.014055384903868,3.9,0.7999999999999998,True
2019-04-30,1.66,0.85,2.61,1.8215611034613022,1.44,-0.21999999999999997,True
2019-05-31,1.15,-0.05,3.03,0.6389910618261446,-0.85,-2.0,False
2019-06-30,1.87,-0.67,3.36,0.9838153259976063,1.8,-0.07000000000000006,True
2019-07-31,2.17,1.06,3.25,2.4107214487543445,2.7,0.5300000000000002,True
2019-08-31,3.61,2.29,4.61,4.060688245917721,4.41,0.8000000000000003,True
2019-09-30,2.49,1.29,3.74,2.124370966665746,0.09,-2.4000000000000004,False
2019-10-31,3.09,0.39,4.99,1.7500887360831252,-0.19,-3.28,False
2019-11-30,2.72,0.9,4.66,1.72740905910262,2.26,-0.4600000000000004,True
2019-12-31,3.01,1.11,5.11,1.736349282643113,1.3,-1.7099999999999997,True
2020-01-31,2.36,1.14,3.24,2.2229850864589094,1.08,-1.2799999999999998,False
2020-02-29,3.03,1.94,4.58,2.2946539358684865,-1.04,-4.07,False
2020-03-31,4.67,2.69,6.75,3.214213766751939,4.92,0.25,True
2020-04-30,4.93,2.54,7.56,2.649687189085884,1.43,-3.5,False
2020-05-31,7.81,0.07,16.15,1.5422278023447926,0.07,-7.739999999999999,True
2020-06-30,5.39,2.89,7.82,3.132186181956352,4.62,-0.7699999999999996,True
2020-07-31,4.73,2.28,7.53,2.2428386713414286,0.79,-3.9400000000000004,False
2020-08-31,2.47,1.38,3.65,2.0659174037555434,3.29,0.8199999999999998,True
2020-09-30,1.62,-0.01,3.95,0.8620650573351878,2.51,0.8899999999999997,True
2020-10-31,2.65,1.68,3.79,2.712360961190449,2.02,-0.6299999999999999,True
2020-11-30,3.81,2.72,4.61,4.766934318057194,2.2,-1.6099999999999999,False
2020-12-31,3.4,2.36,4.36,3.6239577456393013,4.56,1.1599999999999997,False
2021-01-31,5.04,3.41,6.87,3.9059320925528365,2.55,-2.49,False
2021-02-28,5.47,3.33,7.06,4.975625571548841,4.07,-1.3999999999999995,True
2021-03-31,4.47,3.47,5.32,6.028400585566226,3.47,-0.9999999999999996,True
2021-04-30,3.07,1.87,4.64,2.69794943680663,2.5,-0.5699999999999998,True
2021-05-31,1.94,0.78,3.31,1.1857270574626895,0.21,-1.73,False
2021-06-30,1.68,0.42,2.94,1.2352122404315327,1.16,-0.52,True
2021-07-31,2.96,1.06,4.61,2.0960538814793557,2.94,-0.020000000000000018,True
2021-08-31,3.13,2.32,3.75,4.252263180520822,2.82,-0.31000000000000005,True
2021-09-30,2.84,1.87,3.65,3.559255858521174,1.87,-0.9699999999999998,True
2021-10-31,3.0,1.96,4.07,3.103142420578909,1.96,-1.04,True
2021-11-30,4.57,2.86,6.53,2.9896185567632356,0.65,-3.9200000000000004,False
2021-12-31,4.07,1.22,6.72,1.935786752393862,2.93,-1.1400000000000001,True
2022-01-31,1.91,-0.11,3.28,1.0296962909749354,1.94,0.030000000000000027,True
2022-02-28,3.12,1.92,4.5,2.7950029493215727,4.42,1.2999999999999998,True
2022-03-31,6.84,3.73,11.0,2.5273324303987885,7.64,0.7999999999999998,True
2022-04-30,4.95,2.45,7.01,2.676603325281916,3.84,-1.1100000000000003,True
2022-05-31,3.26,-0.64,7.31,1.0529585658220995,2.11,-1.15,True
2022-06-30,3.43,0.18,7.2,1.156191138683848,1.91,-1.5200000000000002,True
2022-07-31,3.92,0.48,7.07,1.4112359064488702,1.47,-2.45,True
2022-08-31,4.55,1.13,7.18,1.9146002270391387,0.51,-4.04,False
2022-09-30,3.0,0.14,4.67,1.4650499303911495,2.41,-0.5899999999999999,True
2022-10-31,3.07,1.14,4.77,1.9920656794855751,0.93,-2.1399999999999997,False
2022-11-30,2.3,0.98,3.47,1.8535817570897581,1.89,-0.4099999999999999,True
2022-12-31,2.23,1.15,3.6,1.5424723886079474,0.98,-1.25,False
2023-01-31,2.23,1.34,2.99,2.237907104854064,3.02,0.79,False
2023-02-28,4.08,2.74,5.49,2.8113406414377806,2.37,-1.71,False
2023-03-31,3.26,-1.87,8.68,0.6934325119891214,3.96,0.7000000000000002,True
2023-04-30,0.92,-6.09,7.51,0.08356469942576711,2.4,1.48,True
2023-05-31,1.77,-0.5,4.41,0.6987879947384037,0.89,-0.88,True
2023-06-30,3.19,0.17,6.15,1.1963434986951804,5.43,2.2399999999999998,True
2023-07-31,3.25,1.67,5.78,2.121976177232756,2.63,-0.6200000000000001,True
2023-08-31,1.49,0.09,3.02,0.844547302779335,0.45,-1.04,True
2023-09-30,4.47,1.07,7.56,1.7766928503919819,5.67,1.2000000000000002,True
2023-10-31,3.64,-3.13,9.95,0.6063948289056065,-5.41,-9.05,False
2023-11-30,,,,,,,False
2023-12-31,2.68,-0.61,5.01,1.1387831336701677,5.01,2.3299999999999996,True
2024-01-31,3.1,2.05,4.24,3.222990792784941,1.78,-1.32,False
2024-02-29,1.2,0.77,1.72,2.202567433432581,0.85,-0.35,True
2024-03-31,4.2,3.5,5.64,4.248489630849254,3.64,-0.56,True
2024-04-30,3.21,2.26,3.93,4.613859365022719,3.54,0.33000000000000007,True
2024-05-31,2.78,1.29,3.98,2.607483707596309,1.29,-1.4899999999999998,True
2024-06-30,2.13,0.6,3.54,1.8423924893018349,2.27,0.14000000000000012,True
2024-07-31,1.56,0.42,2.95,1.1422811066302139,2.44,0.8799999999999999,True
2024-08-31,1.63,-1.38,4.85,0.5461557017279495,1.75,0.1200000000000001,True
2024-09-30,2.55,1.8,3.52,2.6200765155067103,2.29,-0.2599999999999998,True
2024-10-31,2.75,1.83,3.78,3.175487111190944,0.92,-1.83,False
2024-11-30,5.81,3.57,7.58,4.17365816147644,3.57,-2.2399999999999998,True
2024-12-31,4.05,1.85,6.18,2.6066222318705137,2.75,-1.2999999999999998,True
2025-01-31,2.2,0.97,3.26,1.994135211275128,3.29,1.0899999999999999,False
