,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2016-08-14,0.38,-2.57,3.29,0.12430480953408331,1.89,1.5099999999999998,True
2016-08-21,,,,,,,False
2016-08-28,,,,,,,False
2016-09-04,,,,,,,False
2016-09-11,0.99,-1.39,2.91,0.563741251533329,-1.39,-2.38,True
2016-09-18,,,,,,,False
2016-09-25,,,,,,,False
2016-10-02,,,,,,,False
2016-10-09,,,,,,,False
2016-10-16,,,,,,,False
2016-10-23,1.29,-1.25,3.78,0.6418466759241285,4.23,2.9400000000000004,False
2016-10-30,0.73,-2.57,3.0,0.2934371959470544,0.78,0.050000000000000044,True
2016-11-06,,,,,,,False
2016-11-13,1.61,-5.03,5.8,0.3812951085923352,5.27,3.6599999999999993,True
2016-11-20,1.75,-2.47,6.3,0.5812650623946226,0.24,-1.51,True
2016-11-27,2.34,-0.88,6.67,0.7681521283474744,6.15,3.8100000000000005,True
2016-12-04,1.63,-1.44,5.95,0.5760063287375515,-3.86,-5.49,False
2016-12-11,1.26,0.04,2.32,1.0715092150237613,1.02,-0.24,True
2016-12-18,1.52,0.43,3.15,1.3512412435580483,1.4,-0.1200000000000001,True
2016-12-25,1.18,-0.49,2.37,0.9923277940875943,-0.73,-1.91,False
2017-01-01,1.02,-0.78,3.11,0.6151157343569809,-0.78,-1.8,True
2017-01-08,0.71,-0.74,2.69,0.469486313347226,-0.41,-1.1199999999999999,True
2017-01-15,,,,,,,False
2017-01-22,,,,,,,False
2017-01-29,,,,,,,False
2017-02-05,0.44,-3.36,2.72,0.1474550698681757,-2.46,-2.9,True
2017-02-12,,,,,,,False
2017-02-19,,,,,,,False
2017-02-26,,,,,,,False
2017-03-05,0.5,-1.02,1.75,0.388882408409862,0.52,0.020000000000000018,True
2017-03-12,0.38,-1.17,1.61,0.2644171740016159,-1.17,-1.5499999999999998,True
2017-03-19,,,,,,,False
2017-03-26,,,,,,,False
2017-04-02,,,,,,,False
2017-04-09,,,,,,,False
2017-04-16,,,,,,,False
2017-04-23,,,,,,,False
2017-04-30,,,,,,,False
2017-05-07,,,,,,,False
2017-05-14,,,,,,,False
2017-05-21,,,,,,,False
2017-05-28,,,,,,,False
2017-06-04,,,,,,,False
2017-06-11,,,,,,,False
2017-06-18,,,,,,,False
2017-06-25,0.41,-1.76,2.23,0.18244089046120515,2.02,1.61,True
2017-07-02,0.52,-1.27,2.15,0.26642967044730287,-1.05,-1.57,True
2017-07-09,,,,,,,False
2017-07-16,,,,,,,False
2017-07-23,,,,,,,False
2017-07-30,,,,,,,False
2017-08-06,,,,,,,False
2017-08-13,,,,,,,False
2017-08-20,,,,,,,False
2017-08-27,,,,,,,False
2017-09-03,,,,,,,False
2017-09-10,0.33,-2.61,2.79,0.1088557200897347,-0.16,-0.49,True
2017-09-17,0.75,-2.61,2.82,0.33118452174705926,1.97,1.22,True
2017-09-24,,,,,,,False
2017-10-01,0.82,-1.93,2.98,0.38701371891152925,2.1,1.2800000000000002,True
2017-10-08,0.75,-0.3,1.61,0.9432146945125063,-0.77,-1.52,False
2017-10-15,0.72,-2.29,2.87,0.3688777906711305,-3.24,-3.96,False
2017-10-22,,,,,,,False
2017-10-29,0.32,-0.92,1.47,0.21705387071106408,2.72,2.4000000000000004,False
2017-11-05,0.4,-2.17,2.96,0.15328479071720386,0.47,0.06999999999999995,True
2017-11-12,0.35,-1.83,3.0,0.14150603469931972,-1.84,-2.19,False
2017-11-19,,,,,,,False
2017-11-26,,,,,,,False
2017-12-03,,,,,,,False
2017-12-10,,,,,,,False
2017-12-17,,,,,,,False
2017-12-24,,,,,,,False
2017-12-31,,,,,,,False
2018-01-07,0.53,-1.71,1.97,0.2872842616452728,-0.32,-0.8500000000000001,True
2018-01-14,1.55,-0.04,3.07,1.2519712851085847,3.74,2.1900000000000004,False
2018-01-21,0.71,-1.23,2.92,0.39913477869174463,-1.57,-2.2800000000000002,False
2018-01-28,0.78,-0.64,2.83,0.4125659254460153,3.21,2.4299999999999997,False
2018-02-04,0.5,-1.74,2.15,0.20944940447300003,-3.92,-4.42,False
2018-02-11,,,,,,,False
2018-02-18,,,,,,,False
2018-02-25,,,,,,,False
2018-03-04,,,,,,,False
2018-03-11,,,,,,,False
2018-03-18,0.37,-1.87,3.03,0.1310908737775806,-0.02,-0.39,True
2018-03-25,0.32,-1.52,2.07,0.14192081015535632,-0.23,-0.55,True
2018-04-01,0.2,-0.57,0.99,0.14923292432150967,-0.84,-1.04,False
2018-04-08,,,,,,,False
2018-04-15,0.28,-1.92,2.58,0.10147163231455036,0.45,0.16999999999999998,True
2018-04-22,,,,,,,False
2018-04-29,1.23,-1.02,4.17,0.6249698440665892,2.13,0.8999999999999999,True
2018-05-06,1.38,-0.08,3.25,1.0762723276369943,1.22,-0.15999999999999992,True
2018-05-13,1.49,0.43,2.43,1.9840489822620138,1.97,0.48,True
2018-05-20,1.49,0.44,2.49,1.8831383858198014,1.82,0.33000000000000007,True
2018-05-27,0.9,0.24,1.38,1.8361600056536604,0.24,-0.66,True
2018-06-03,1.14,0.27,2.15,1.6929055701494407,0.06,-1.0799999999999998,False
2018-06-10,1.0,-0.98,2.47,0.7271747929245423,-1.14,-2.1399999999999997,False
2018-06-17,0.42,-0.46,1.61,0.422482478980864,1.11,0.6900000000000002,True
2018-06-24,0.49,-0.79,1.71,0.3979476560850025,0.1,-0.39,True
2018-07-01,,,,,,,False
2018-07-08,,,,,,,False
2018-07-15,,,,,,,False
