,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-03-31,7.54,4.65,10.97,2.3725764616045355,1.74,-5.8,False
2018-08-31,6.85,2.79,11.12,1.692689127785172,13.65,6.800000000000001,False
2019-01-31,6.5,-8.01,19.98,0.49014972949140184,-6.15,-12.65,True
2019-06-30,6.56,-4.45,15.96,0.6303227490477177,8.75,2.1900000000000004,True
2019-11-30,8.19,2.6,12.91,1.7091304134779508,10.02,1.83,True
2020-04-30,9.04,4.35,12.84,2.3170639172746244,13.75,4.710000000000001,False
2020-09-30,11.19,6.78,15.68,2.618588869535383,10.23,-0.9599999999999991,True
2021-02-28,,,,,,,False
2021-07-31,9.41,5.98,12.94,3.1724126152029566,14.85,5.4399999999999995,False
2021-12-31,13.54,10.34,16.71,4.902842721673806,11.07,-2.469999999999999,True
2022-05-31,12.78,9.55,16.64,4.398771868677651,9.66,-3.119999999999999,True
2022-10-31,9.18,5.56,13.06,2.76914050705425,9.54,0.35999999999999943,True
2023-03-31,8.35,4.67,11.47,2.694051684024118,4.45,-3.8999999999999995,False
2023-08-31,6.38,2.14,10.95,1.4722916901289373,5.6,-0.7800000000000002,True
2024-01-31,8.86,2.88,17.44,1.3771726347870226,8.52,-0.33999999999999986,True
2024-06-30,13.52,5.77,22.3,2.066725464875489,12.52,-1.0,True
