,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-10-31,8.17,5.53,11.28,3.124166237847151,7.98,-0.1899999999999995,True
2018-03-31,7.58,4.48,11.5,2.3953923580041736,2.21,-5.37,False
2018-08-31,8.34,2.19,13.77,1.7507092959305777,16.53,8.190000000000001,False
2019-01-31,6.23,-3.19,15.92,0.6109768592201656,-0.55,-6.78,True
2019-06-30,7.18,2.52,12.12,1.5235550651612655,8.99,1.8100000000000005,True
2019-11-30,7.84,5.99,9.42,5.075448307051892,6.6,-1.2400000000000002,True
2020-04-30,11.32,6.55,14.91,3.2648942703832318,14.06,2.74,True
2020-09-30,11.72,6.47,16.76,2.394798842034188,10.84,-0.8800000000000008,True
2021-02-28,15.45,11.19,19.57,3.74934085081517,6.41,-9.04,False
2021-07-31,16.56,14.01,19.52,6.125562481028733,16.68,0.120000000000001,True
2021-12-31,12.63,10.11,15.33,6.167880746289343,10.54,-2.0900000000000016,True
2022-05-31,11.11,8.41,15.06,4.298095541465657,8.99,-2.119999999999999,True
2022-10-31,10.52,7.38,13.91,3.9832022929187674,11.4,0.8800000000000008,True
2023-03-31,7.89,4.84,10.83,2.7425550526838305,6.06,-1.83,True
2023-08-31,10.02,4.75,18.2,1.9314444790901815,10.11,0.08999999999999986,True
2024-01-31,11.43,5.39,18.48,1.8997985565347852,13.13,1.700000000000001,True
2024-06-30,11.8,5.59,17.52,2.337916531525497,12.07,0.2699999999999996,True
