,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2019-03-31,9.36,-0.15,17.14,1.0011336823307417,2.43,-6.93,True
2019-11-30,10.78,2.25,20.97,1.0794622399515912,11.12,0.33999999999999986,True
2020-07-31,10.33,5.17,16.01,1.8696464663520391,5.82,-4.51,True
2021-03-31,14.38,8.04,19.87,2.4803350264654958,14.58,0.1999999999999993,True
2021-11-30,13.78,9.35,18.46,3.31826190580733,14.03,0.25,True
2022-07-31,15.05,10.41,20.46,3.0727008888856107,7.69,-7.36,False
2023-03-31,13.12,8.99,17.05,3.5982657200678947,10.16,-2.959999999999999,True
2023-11-30,10.39,4.54,15.8,1.7748382477101763,4.96,-5.430000000000001,True
