,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-07-31,9.58,7.29,13.0,3.5494790451857576,7.72,-1.8600000000000003,True
2018-01-31,9.49,7.21,12.36,3.757599603675022,9.73,0.2400000000000002,True
2018-07-31,9.31,3.89,13.33,2.0261030867088015,5.93,-3.380000000000001,True
2019-01-31,13.51,1.61,21.33,1.6361630303311643,4.69,-8.82,True
2019-07-31,8.61,6.73,10.84,4.172731987969868,10.8,2.1900000000000013,True
2020-01-31,12.15,10.86,14.33,8.391490496964636,11.96,-0.1899999999999995,True
2020-07-31,15.5,6.87,22.56,2.4683501249988375,15.7,0.1999999999999993,True
2021-01-31,15.99,13.62,18.86,7.341172804099534,17.44,1.450000000000001,True
2021-07-31,20.56,18.35,22.81,12.452299412653883,20.17,-0.389999999999997,True
2022-01-31,14.64,12.06,17.01,6.094449757665823,13.37,-1.2700000000000014,True
2022-07-31,18.99,14.52,23.81,5.2320105048468415,14.49,-4.499999999999998,False
2023-01-31,12.14,9.61,14.67,5.3160843343486235,13.85,1.709999999999999,True
2023-07-31,17.9,15.03,20.66,7.893304505553347,13.29,-4.609999999999999,False
2024-01-31,14.92,8.46,22.36,2.6845324398850523,14.57,-0.34999999999999964,True
2024-07-31,17.15,11.55,21.53,4.604471426928708,10.79,-6.359999999999999,False
