,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-02-28,1.88,-2.57,7.61,0.426270488019993,-0.2,-2.08,True
2017-03-31,1.65,-2.58,6.94,0.37488960025047635,-2.95,-4.6,False
2017-04-30,1.46,-3.23,8.36,0.25683139105705916,0.99,-0.47,True
2017-05-31,1.99,-1.46,5.88,0.6529552630418766,0.8,-1.19,True
2017-06-30,1.06,-2.79,4.43,0.25118022424415437,-4.12,-5.18,False
2017-07-31,,,,,,,False
2017-08-31,1.23,-3.24,6.19,0.2526846594089774,-0.95,-2.1799999999999997,True
2017-09-30,0.87,-3.24,5.77,0.12978946080205975,5.77,4.8999999999999995,True
2017-10-31,0.92,-2.57,5.04,0.18106101348299733,-0.48,-1.4,True
2017-11-30,1.6,-2.13,5.46,0.4715787175535361,-3.48,-5.08,False
2017-12-31,,,,,,,False
2018-01-31,0.92,-2.38,3.64,0.21978728160081212,2.58,1.6600000000000001,True
2018-02-28,,,,,,,False
2018-03-31,,,,,,,False
2018-04-30,,,,,,,False
2018-05-31,0.93,-5.1,7.59,0.10606740041989329,4.13,3.1999999999999997,True
2018-06-30,1.41,-5.1,7.68,0.20676624392728138,3.83,2.42,True
2018-07-31,1.31,-3.02,7.37,0.25617297517165366,-3.02,-4.33,True
2018-08-31,2.28,-2.33,6.51,0.632343348669255,3.57,1.29,True
2018-09-30,1.82,-3.3,5.76,0.4797416486485442,0.43,-1.3900000000000001,True
2018-10-31,2.03,-2.28,5.69,0.6703356433199849,-3.12,-5.15,False
2018-11-30,1.41,-2.54,4.66,0.43881660568134445,0.37,-1.04,True
2018-12-31,0.95,-4.04,7.04,0.13263559761420282,-3.64,-4.59,True
2019-01-31,,,,,,,False
2019-02-28,0.64,-2.69,4.12,0.06448003847180783,-0.33,-0.97,True
2019-03-31,0.75,-3.16,5.03,0.10222319252630946,0.55,-0.19999999999999996,True
2019-04-30,1.55,-2.47,5.43,0.42297276908470843,-0.89,-2.44,True
2019-05-31,0.88,-1.25,3.46,0.25013600409354747,1.45,0.57,True
2019-06-30,1.23,-1.26,3.18,0.5061087580058142,2.03,0.7999999999999998,True
2019-07-31,1.99,-0.2,4.46,1.0020881525235505,3.74,1.7500000000000002,True
2019-08-31,2.05,-0.17,4.88,0.9270627101432101,4.27,2.2199999999999998,True
2019-09-30,1.66,-1.13,5.33,0.6155721649497347,-0.91,-2.57,True
2019-10-31,1.83,-5.98,9.62,0.29259917799762564,-6.7,-8.530000000000001,False
2019-11-30,1.15,-2.85,4.08,0.2946317314028073,1.57,0.42000000000000015,True
2019-12-31,2.0,-1.04,4.88,0.7698137495729451,1.38,-0.6200000000000001,True
2020-01-31,1.29,-1.07,3.73,0.5282400933300399,-0.42,-1.71,True
2020-02-29,1.96,-0.47,4.4,0.7801137035286528,-8.6,-10.559999999999999,False
2020-03-31,1.1,-8.55,12.83,0.09440210807866027,10.2,9.1,True
