,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2016-10-16,0.74,-3.97,4.75,0.13607729554730344,-2.3,-3.04,True
2016-11-06,1.14,-4.13,5.57,0.29100206847784527,-1.86,-3.0,True
2016-11-27,2.07,-2.14,10.03,0.4618366826336802,14.03,11.959999999999999,False
2016-12-18,3.22,-0.79,8.81,0.97219546803356,0.94,-2.2800000000000002,True
2017-01-08,3.79,-0.81,8.02,1.2759826011999837,-0.94,-4.73,False
2017-01-29,2.05,-1.84,7.16,0.587955870323251,-1.64,-3.6899999999999995,True
2017-02-19,1.05,-0.85,2.88,0.5581619090051403,1.79,0.74,True
2017-03-12,1.22,-1.19,3.77,0.5302746039051222,0.84,-0.38,True
2017-04-02,1.38,-1.11,3.77,0.6738695789971969,2.05,0.6699999999999999,True
2017-04-23,1.4,-0.88,3.38,0.7062387394800481,-1.07,-2.4699999999999998,False
2017-05-14,1.05,0.16,2.41,0.9688263191541691,0.79,-0.26,True
2017-06-04,0.96,-1.41,4.19,0.38424744117547327,-0.23,-1.19,True
2017-06-25,0.96,-1.07,3.02,0.5012180481937807,-1.6,-2.56,False
2017-07-16,0.71,-2.08,4.84,0.1680818224681074,-0.78,-1.49,True
2017-08-06,0.6,-4.14,5.66,0.08235178822588797,-3.51,-4.109999999999999,True
2017-08-27,0.8,-2.34,4.74,0.20217384976879624,1.47,0.6699999999999999,True
2017-09-17,0.68,-1.17,2.71,0.26266607734652614,-0.23,-0.91,True
2017-10-08,1.0,-1.82,3.32,0.45781740158545203,1.56,0.56,True
2017-10-29,0.61,-1.14,2.2,0.1958258837995048,1.34,0.7300000000000001,True
2017-11-19,1.64,-2.38,5.06,0.613202195531444,-0.89,-2.53,True
2017-12-10,1.97,-2.24,5.29,0.6761341920740592,-0.53,-2.5,True
2017-12-31,0.99,-2.42,4.53,0.31141129755494773,-2.68,-3.67,False
2018-01-21,0.62,-1.19,2.53,0.23826265522843607,3.52,2.9,False
2018-02-11,,,,,,,False
2018-03-04,0.63,-4.27,4.58,0.0963082587292316,1.95,1.3199999999999998,True
2018-03-25,1.79,-4.37,5.95,0.40730940377159097,-1.97,-3.76,True
2018-04-15,,,,,,,False
2018-05-06,,,,,,,False
2018-05-27,1.81,0.17,3.76,1.165493743995015,1.11,-0.7,True
2018-06-17,2.4,-1.25,6.14,0.8444367329402126,-0.94,-3.34,True
2018-07-08,2.86,0.15,5.18,1.61945541657243,0.34,-2.52,True
2018-07-29,1.93,-0.13,4.38,1.1902830881477506,0.16,-1.77,True
2018-08-19,1.26,-0.04,2.9,1.0121431793462794,2.49,1.2300000000000002,True
2018-09-09,1.25,-0.58,3.48,0.7446463285365583,-0.87,-2.12,False
2018-09-30,1.1,-0.6,4.41,0.4893817351132959,0.83,-0.27000000000000013,True
2018-10-21,0.83,-2.79,4.41,0.24447035487925828,-2.92,-3.75,False
2018-11-11,,,,,,,False
2018-12-02,0.8,-7.32,9.79,0.08638869045163775,-0.01,-0.81,True
2018-12-23,0.6,-1.67,3.17,0.16683532686588934,-0.56,-1.1600000000000001,True
2019-01-13,0.66,-0.95,2.48,0.2919977247602387,-0.14,-0.8,True
2019-02-03,0.65,-2.97,4.5,0.11548567560391058,-0.09,-0.74,True
2019-02-24,1.01,-0.28,2.53,0.8264779814752957,1.6,0.5900000000000001,True
2019-03-17,2.4,-2.34,5.65,0.8591196989444323,-0.01,-2.4099999999999997,True
2019-04-07,2.13,0.66,3.35,2.2301150647800076,0.96,-1.17,True
2019-04-28,3.24,0.83,6.11,1.7384326441476132,2.02,-1.2200000000000002,True
2019-05-19,1.33,-3.08,3.54,0.4991479005625303,-2.78,-4.109999999999999,True
2019-06-09,0.71,-1.23,2.3,0.3369875640178962,-0.66,-1.37,True
2019-06-30,1.13,-2.75,4.5,0.3383295787303998,1.71,0.5800000000000001,True
2019-07-21,1.28,-0.59,3.72,0.7998347314838673,1.04,-0.24,True
2019-08-11,1.73,-0.2,4.08,1.0470308979192609,3.8,2.07,True
2019-09-01,2.6,0.94,4.17,2.277871028739095,3.64,1.04,True
2019-09-22,0.97,-1.21,2.63,0.5350196453206587,-1.11,-2.08,True
2019-10-13,1.61,0.13,3.96,1.0038550481693582,-1.3,-2.91,False
2019-11-03,1.18,-0.83,3.26,0.5888317840386565,-0.85,-2.03,False
2019-11-24,2.24,0.0,4.24,1.4273222777419747,2.41,0.16999999999999993,True
2019-12-15,1.4,-0.44,3.38,0.8212502753405228,1.49,0.09000000000000008,True
2020-01-05,1.59,-1.07,3.59,0.8635010862707111,0.15,-1.4400000000000002,True
2020-01-26,1.9,0.24,3.67,1.2854730942496098,2.56,0.6600000000000001,True
2020-02-16,1.68,-0.21,3.46,1.1176290280121675,2.92,1.24,True
2020-03-08,1.74,-1.53,5.09,0.7985713136500084,-0.82,-2.56,True
2020-03-29,3.18,-0.58,8.43,1.0556097708504057,5.15,1.9700000000000002,True
2020-04-19,3.86,0.68,7.51,1.7671508733071783,2.96,-0.8999999999999999,True
2020-05-10,3.6,-0.33,8.88,1.1694664716249663,-0.97,-4.57,False
2020-05-31,2.0,-2.54,7.15,0.5664007039421508,-3.35,-5.35,False
2020-06-21,5.05,0.56,12.01,1.3425696450824292,4.29,-0.7599999999999998,True
2020-07-12,3.42,0.38,6.46,1.5820984164856522,3.41,-0.009999999999999787,True
2020-08-02,2.24,-1.22,5.3,0.9751952763294122,-1.94,-4.18,False
2020-08-23,1.58,-0.37,4.1,0.9099837875386964,1.13,-0.4500000000000002,True
2020-09-13,1.59,-0.92,3.69,0.7636139672648196,-1.29,-2.88,False
