,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2016-11-27,1.98,-4.92,8.04,0.423199171501565,9.89,7.91,False
2016-12-18,2.5,-3.82,6.66,0.6459837274840475,6.66,4.16,True
2017-01-08,2.46,-4.06,7.34,0.578590126874513,-1.21,-3.67,True
2017-01-29,2.12,-1.71,7.41,0.4973217482777144,-1.68,-3.8,True
2017-02-19,1.86,-2.07,6.09,0.47276355797655867,-2.12,-3.9800000000000004,False
2017-03-12,1.6,-2.6,7.98,0.3909829798999535,0.06,-1.54,True
2017-04-02,1.28,-1.36,3.54,0.6176557096731573,0.93,-0.35,True
2017-04-23,0.8,-1.48,3.3,0.3021360763702296,-1.48,-2.2800000000000002,True
2017-05-14,0.66,-1.25,3.09,0.23012611054670296,1.8,1.1400000000000001,True
2017-06-04,0.81,-1.75,4.18,0.2570189834431823,-0.31,-1.12,True
2017-06-25,0.75,-1.27,3.14,0.2939095842116109,-2.3,-3.05,False
2017-07-16,,,,,,,False
2017-08-06,,,,,,,False
2017-08-27,0.72,-2.84,4.91,0.181548076593473,-1.13,-1.8499999999999999,True
2017-09-17,,,,,,,False
2017-10-08,0.79,-1.21,2.73,0.3416890340944613,1.72,0.9299999999999999,True
2017-10-29,0.55,-1.55,2.65,0.13940180966161594,-1.55,-2.1,True
2017-11-19,0.87,-1.26,3.99,0.3368679980215738,-1.19,-2.06,True
2017-12-10,,,,,,,False
2017-12-31,0.73,-3.16,4.18,0.16378950542506612,-1.44,-2.17,True
2018-01-21,1.14,-2.82,4.11,0.3688612111117025,3.08,1.9400000000000002,True
2018-02-11,,,,,,,False
2018-03-04,,,,,,,False
2018-03-25,,,,,,,False
2018-04-15,,,,,,,False
2018-05-06,,,,,,,False
2018-05-27,0.58,-4.53,5.5,0.07186916524654803,3.4,2.82,True
2018-06-17,1.53,-2.93,6.51,0.39800252584266527,0.59,-0.9400000000000001,True
2018-07-08,1.9,-1.41,5.22,0.7581069138903452,2.09,0.18999999999999995,True
2018-07-29,1.95,-2.05,6.84,0.539947300587117,-2.05,-4.0,True
2018-08-19,1.87,-0.23,4.26,1.0340413306827203,3.34,1.4699999999999998,True
2018-09-09,1.78,-0.25,4.49,0.9101917182705607,-0.47,-2.25,False
2018-09-30,1.27,-0.57,4.44,0.610767252150135,0.8,-0.47,True
2018-10-21,0.95,-1.99,4.17,0.3556624110119205,-2.92,-3.87,False
2018-11-11,,,,,,,False
2018-12-02,,,,,,,False
2018-12-23,,,,,,,False
2019-01-13,,,,,,,False
2019-02-03,1.11,-2.94,4.79,0.2851703470210813,1.8,0.69,True
2019-02-24,0.74,-0.99,2.43,0.32338997682254,1.9,1.16,True
2019-03-17,0.98,-4.73,4.31,0.24911852975192875,2.7,1.7200000000000002,True
2019-04-07,0.75,-1.6,2.43,0.3252684783990166,1.34,0.5900000000000001,True
2019-04-28,1.49,-1.78,3.78,0.6050253802557988,0.34,-1.15,True
2019-05-19,2.1,-0.16,4.8,1.080356515595124,-0.16,-2.2600000000000002,True
2019-06-09,1.52,-0.86,4.98,0.6175659655110924,-1.35,-2.87,False
2019-06-30,0.79,-0.56,2.3,0.4580934311412469,0.02,-0.77,True
2019-07-21,1.01,-1.08,3.56,0.44696047603518557,0.46,-0.55,True
2019-08-11,1.24,-1.04,4.73,0.4636344057265342,3.74,2.5,True
2019-09-01,1.82,-0.32,4.36,0.9063092556640691,4.05,2.2299999999999995,True
2019-09-22,1.5,-0.86,3.93,0.7365189399651966,-1.24,-2.74,False
2019-10-13,1.68,-0.09,3.51,1.074662867731077,-1.51,-3.19,False
