,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-01-31,11.36,7.3,14.32,4.322073581654437,8.18,-3.1799999999999997,True
2017-04-30,7.85,5.74,9.64,4.7851253579218165,6.39,-1.46,True
2017-07-31,4.85,3.43,6.54,2.6151542993482195,3.97,-0.8799999999999994,True
2017-10-31,5.07,3.52,6.5,3.4724954924542,6.04,0.9699999999999998,True
2018-01-31,5.13,2.99,6.33,3.4908409397696376,2.93,-2.1999999999999997,False
2018-04-30,,,,,,,False
2018-07-31,9.4,7.25,11.03,5.632676882555902,5.26,-4.140000000000001,False
2018-10-31,8.31,2.9,12.52,2.336226535785237,3.89,-4.42,True
2019-01-31,3.44,1.21,5.14,1.4102743796341917,2.24,-1.1999999999999997,True
2019-04-30,5.5,4.02,7.1,3.9285492857717323,4.94,-0.5599999999999996,True
2019-07-31,6.06,5.02,7.07,6.1946808071916495,7.07,1.0100000000000007,True
2019-10-31,8.76,5.41,12.07,3.3763390084796603,5.46,-3.3,True
2020-01-31,7.92,6.05,9.5,5.534211899535406,6.0,-1.92,False
2020-04-30,8.0,4.75,10.89,2.7641666530399687,8.09,0.08999999999999986,True
2020-07-31,11.43,5.86,16.94,2.878423494083503,8.72,-2.709999999999999,True
2020-10-31,7.81,6.12,9.86,5.447272416609659,7.62,-0.1899999999999995,True
2021-01-31,10.93,9.55,12.22,10.11034515115105,8.69,-2.24,False
2021-04-30,12.01,10.45,13.39,10.423942437236823,12.15,0.14000000000000057,True
2021-07-31,8.57,7.24,9.78,7.368459381997587,7.94,-0.6299999999999999,True
2021-10-31,10.26,9.01,11.51,9.813180867508327,9.16,-1.0999999999999996,True
2022-01-31,5.23,3.57,6.7,3.8047712167141627,4.6,-0.6300000000000008,True
2022-04-30,8.88,5.67,12.25,3.53480116589581,7.39,-1.490000000000001,True
2022-07-31,6.58,2.48,9.87,2.02975308705545,0.96,-5.62,False
2022-10-31,7.53,4.56,9.69,3.5753456113129625,7.97,0.4399999999999995,True
2023-01-31,6.4,3.65,8.38,3.0656542386487415,7.74,1.3399999999999999,True
2023-04-30,10.76,6.87,14.04,3.920783276979338,5.27,-5.49,False
2023-07-31,8.73,0.99,13.75,1.8430724020819216,10.35,1.6199999999999992,True
2023-10-31,6.97,3.43,10.17,2.23968825097347,3.79,-3.1799999999999997,True
2024-01-31,4.25,-1.63,16.14,0.5211609565250852,14.63,10.38,True
2024-04-30,3.24,2.5,3.93,3.7827798632062937,3.65,0.4099999999999997,True
2024-07-31,6.42,5.32,7.56,5.932406350349127,6.01,-0.41000000000000014,True
2024-10-31,4.7,3.32,6.05,3.427677695138249,2.54,-2.16,False
