,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2019-06-30,7.52,-10.35,21.92,0.5340894796242648,17.02,9.5,True
2019-11-30,6.38,-7.91,18.01,0.5098818051788679,13.84,7.46,True
2020-04-30,7.62,-4.88,16.2,0.7652236690160946,13.56,5.94,True
2020-09-30,7.64,-1.75,15.26,0.9826233471724662,8.21,0.5700000000000012,True
2021-02-28,7.46,0.45,13.45,1.2722352817540001,0.5,-6.96,True
2021-07-31,9.09,3.33,13.68,1.876183679040368,11.5,2.41,True
2021-12-31,10.43,5.01,15.7,2.2914962073067464,8.83,-1.5999999999999996,True
2022-05-31,8.94,3.79,15.49,1.5996637758732988,4.35,-4.59,True
2022-10-31,7.31,2.8,11.93,1.6625011110499188,5.85,-1.46,True
2023-03-31,7.4,2.97,12.16,1.7594119243817117,2.54,-4.86,False
2023-08-31,6.33,1.62,11.85,1.2221072468986467,4.39,-1.9400000000000004,True
2024-01-31,5.77,0.11,11.2,0.9642287804330177,0.16,-5.609999999999999,True
2024-06-30,5.19,0.13,10.22,0.8766608411713658,7.37,2.1799999999999997,True
