,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-07-31,9.18,5.07,12.96,2.543071282440092,4.34,-4.84,False
2019-01-31,6.71,-8.3,16.84,0.49691430230270606,-3.83,-10.54,True
2019-07-31,8.58,-4.47,21.21,0.6818179246871271,16.97,8.389999999999999,True
2020-01-31,9.99,4.39,15.14,2.0726919165689064,13.0,3.01,True
2020-07-31,9.93,4.51,15.19,2.187512039704234,8.0,-1.9299999999999997,True
2021-01-31,12.98,7.28,18.63,2.71276641149719,10.33,-2.6500000000000004,True
2021-07-31,12.34,6.12,16.69,2.40731365823436,7.09,-5.25,True
2022-01-31,11.65,8.17,14.63,4.199471678618341,7.34,-4.3100000000000005,False
2022-07-31,17.95,12.99,22.95,4.579483433945194,18.18,0.23000000000000043,True
2023-01-31,9.12,5.4,12.53,2.831404382584979,7.07,-2.049999999999999,True
2023-07-31,8.35,4.99,12.7,2.132406288555765,4.86,-3.4899999999999993,False
2024-01-31,6.6,1.87,10.73,1.3289971789413477,5.22,-1.38,True
2024-07-31,12.74,6.56,19.21,2.3224047285592073,9.91,-2.83,True
