,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-07-31,5.51,1.37,10.07,1.3244814328591934,10.15,4.640000000000001,False
2018-11-30,4.9,-5.62,11.95,0.593081204907559,-6.39,-11.29,False
2019-03-31,3.25,-12.67,17.78,0.14643826623976255,11.26,8.01,True
2019-07-31,5.95,-9.76,19.26,0.4580834043563917,6.36,0.41000000000000014,True
2019-11-30,6.11,-0.8,13.4,0.8432134970111483,4.81,-1.3000000000000007,True
2020-03-31,5.55,-1.0,13.03,0.8485264506414718,0.61,-4.9399999999999995,True
2020-07-31,7.59,-0.24,16.23,1.1073227895096123,11.25,3.66,True
2020-11-30,9.68,4.5,15.83,1.8253624387288647,11.16,1.4800000000000004,True
2021-03-31,10.17,4.44,16.28,1.7694692190526953,10.66,0.4900000000000002,True
2021-07-31,8.92,-0.34,15.79,1.3564706045091945,5.35,-3.5700000000000003,True
2021-11-30,7.08,4.21,10.19,2.6766749474772014,5.65,-1.4299999999999997,True
2022-03-31,10.06,6.12,13.85,3.260205892602548,9.91,-0.15000000000000036,True
2022-07-31,8.34,4.74,12.33,2.5541351628066944,5.77,-2.5700000000000003,True
2022-11-30,6.65,2.52,10.31,1.9165873452328352,2.43,-4.220000000000001,False
2023-03-31,5.42,1.67,8.67,1.5686954202323484,3.91,-1.5099999999999998,True
2023-07-31,4.82,-0.61,8.99,1.0040160752497123,3.02,-1.8000000000000003,True
2023-11-30,4.42,0.01,8.39,0.9302054364258656,-0.94,-5.359999999999999,False
2024-03-31,4.59,-0.59,10.53,0.7701963855978782,10.79,6.199999999999999,False
2024-07-31,9.59,0.6,17.93,1.3938951707102005,6.93,-2.66,True
