,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2016-12-31,3.79,-2.06,10.4,0.8534964313207937,2.49,-1.2999999999999998,True
2017-01-31,3.3,-2.09,9.92,0.6430921514662413,-3.25,-6.55,False
2017-02-28,3.67,-3.31,15.04,0.5382080339107825,-0.34,-4.01,True
2017-03-31,2.24,-0.72,5.32,0.8817395946114307,-0.55,-2.79,True
2017-04-30,1.32,-1.46,4.2,0.43928918345658496,-0.59,-1.9100000000000001,True
2017-05-31,1.56,-0.99,4.45,0.572830888234107,0.8,-0.76,True
2017-06-30,1.11,-1.23,3.03,0.39887946993237156,-3.88,-4.99,False
2017-07-31,,,,,,,False
2017-08-31,0.97,-1.31,4.09,0.2590809020527898,0.2,-0.77,True
2017-09-30,1.21,-1.27,4.16,0.4089695247123216,1.87,0.6600000000000001,True
2017-10-31,1.16,-0.24,2.9,0.5706564799979083,0.33,-0.8299999999999998,True
2017-11-30,1.24,-1.11,3.57,0.43699283906024833,-4.18,-5.42,False
2017-12-31,1.26,-2.5,5.3,0.298504090777307,-1.2,-2.46,True
2018-01-31,1.32,-0.2,3.13,0.7370012767231539,2.18,0.8600000000000001,True
2018-02-28,,,,,,,False
2018-03-31,,,,,,,False
2018-04-30,,,,,,,False
2018-05-31,1.12,-3.66,7.39,0.170378903957924,3.32,2.1999999999999997,True
2018-06-30,2.88,-0.33,7.49,0.8573438805903288,0.06,-2.82,True
2018-07-31,2.86,-0.67,7.81,0.8067800025488563,-2.31,-5.17,False
2018-08-31,2.87,0.87,5.01,1.7836361240240315,2.97,0.10000000000000009,True
2018-09-30,2.43,-0.29,4.55,1.244210440178731,2.02,-0.41000000000000014,True
2018-10-31,1.25,-2.4,4.7,0.3509213009281842,-2.59,-3.84,False
2018-11-30,,,,,,,False
2018-12-31,,,,,,,False
2019-01-31,1.54,-2.81,5.13,0.3760961209994284,5.19,3.6500000000000004,False
2019-02-28,1.03,-0.02,2.14,0.6737384373631045,-0.11,-1.1400000000000001,False
2019-03-31,0.93,-0.16,2.22,0.4203342276576028,3.43,2.5,False
2019-04-30,2.38,-0.76,4.29,1.0409806704769806,1.48,-0.8999999999999999,True
