,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2018-11-30,5.42,-3.17,13.65,0.6952130636507262,-5.32,-10.74,False
2019-03-31,2.88,-12.13,13.21,0.12758940969208302,7.92,5.04,True
2019-07-31,5.34,-11.69,19.84,0.3660346622786587,8.66,3.3200000000000003,True
2019-11-30,4.92,-5.89,13.21,0.5100445585207869,0.96,-3.96,True
2020-03-31,5.56,-2.75,13.04,0.7251696641160851,2.43,-3.1299999999999994,True
2020-07-31,5.41,-0.66,12.74,0.8197843717073651,4.92,-0.4900000000000002,True
2020-11-30,8.17,-0.18,16.49,1.1566074815296947,6.3,-1.87,True
2021-03-31,9.52,4.63,15.17,1.8846469435396485,9.57,0.05000000000000071,True
2021-07-31,8.33,0.94,14.48,1.4686582519874862,5.18,-3.1500000000000004,True
2021-11-30,8.97,0.2,15.86,1.3993328683469857,10.72,1.75,True
2022-03-31,6.12,2.46,9.81,1.8185865300480866,5.0,-1.12,True
2022-07-31,9.54,4.71,13.89,2.4831404676262667,5.35,-4.1899999999999995,True
2022-11-30,6.67,2.53,10.48,1.9709417099864825,2.06,-4.609999999999999,False
2023-03-31,5.42,1.98,9.13,1.5616186689846927,4.71,-0.71,True
2023-07-31,4.49,-0.2,8.24,0.9221498882576692,2.86,-1.6300000000000003,True
2023-11-30,4.54,-0.79,8.61,0.8833390246999375,-0.64,-5.18,True
2024-03-31,3.56,-2.19,8.08,0.5281266607671763,6.95,3.39,True
2024-07-31,6.72,0.7,12.68,1.2477658711148356,4.76,-1.96,True
