,ExpectedReturn,ConfIntLow,ConfIntHigh,SharpeRatio,TrueReturn,Error,InConfInt
2017-05-31,3.07,-0.48,7.64,0.8168251377687061,0.67,-2.4,True
2017-07-31,2.78,-0.26,6.7,0.9061391557621615,1.86,-0.9199999999999997,True
2017-09-30,2.12,-0.63,4.36,0.7129431991758651,2.64,0.52,True
2017-11-30,2.29,-0.19,4.55,0.8418449158750171,-1.07,-3.3600000000000003,False
2018-01-31,2.49,-0.29,5.19,0.880317895847173,3.84,1.3499999999999996,True
2018-03-31,2.22,-1.58,5.57,0.49724402790269373,-6.91,-9.13,False
2018-05-31,2.08,-4.07,6.36,0.3228396108303865,11.0,8.92,False
2018-07-31,4.26,-3.94,15.05,0.5736675971139956,2.28,-1.98,True
2018-09-30,3.81,-3.94,15.05,0.49334456010098454,5.63,1.8199999999999998,True
2018-11-30,4.0,-0.92,9.55,0.9336911371288433,3.9,-0.10000000000000009,True
2019-01-31,2.65,-4.19,9.35,0.3837599334995243,-4.19,-6.84,True
2019-03-31,2.51,-4.2,10.45,0.3139007219180502,11.06,8.55,False
2019-05-31,1.83,-1.74,6.51,0.31507399886582765,-0.62,-2.45,True
2019-07-31,2.72,1.02,4.79,1.382682150111508,3.45,0.73,True
2019-09-30,4.45,1.55,6.63,2.171843855854675,5.23,0.7800000000000002,True
2019-11-30,2.69,-0.05,5.34,0.9628721623283831,-0.19,-2.88,False
2020-01-31,2.82,-0.04,5.66,1.0408348521085293,2.48,-0.33999999999999986,True
2020-03-31,3.41,-0.84,7.35,0.8875163786119701,2.68,-0.73,True
2020-05-31,3.99,-0.7,10.71,0.7504450865472528,2.96,-1.0300000000000002,True
2020-07-31,7.79,0.51,20.14,1.1288618391741645,5.9,-1.8899999999999997,True
2020-09-30,4.78,1.95,9.13,1.240174990254762,8.9,4.12,True
2020-11-30,8.44,3.09,15.33,1.4024373116701137,3.13,-5.31,True
2021-01-31,7.49,4.87,10.33,3.0857694531375217,4.05,-3.4400000000000004,False
2021-03-31,6.85,4.61,9.24,2.7186560255956898,7.87,1.0200000000000005,True
2021-05-31,5.96,2.32,8.82,2.5000400374703533,1.89,-4.07,False
2021-07-31,5.02,2.42,7.39,2.560874455724074,5.85,0.8300000000000001,True
2021-09-30,4.84,2.12,7.48,2.442529462982191,1.56,-3.28,False
2021-11-30,4.34,1.9,6.67,2.350032759198571,-0.16,-4.5,False
2022-01-31,3.83,-0.25,7.38,1.312838151600658,4.35,0.5199999999999996,True
2022-03-31,4.04,1.68,7.74,1.5562526801710361,3.92,-0.1200000000000001,True
2022-05-31,5.33,2.3,9.31,1.8351788251024725,4.67,-0.6600000000000001,True
2022-07-31,3.34,0.94,7.32,1.1583140311143676,1.17,-2.17,True
2022-09-30,3.97,-0.18,8.88,1.0190307715046976,9.55,5.58,False
2022-11-30,3.93,0.27,8.83,1.0155504235275337,1.82,-2.1100000000000003,True
2023-01-31,2.59,-0.12,5.08,0.9048608860207222,4.72,2.13,True
2023-03-31,4.28,1.35,9.34,1.396919899818029,2.49,-1.79,True
2023-05-31,3.39,-2.61,11.29,0.6275796904736785,2.52,-0.8700000000000001,True
2023-07-31,6.3,-3.41,17.43,0.9586020839122281,4.34,-1.96,True
2023-09-30,4.73,-0.9,10.24,1.0827097969041009,1.03,-3.7,True
2023-11-30,3.44,-3.22,10.56,0.5407801373523788,-1.58,-5.02,True
2024-01-31,4.93,-3.1,12.46,0.8020622984795469,10.7,5.77,True
2024-03-31,4.44,-3.07,10.7,0.8076005811952381,5.39,0.9499999999999993,True
2024-05-31,4.55,-3.7,10.98,0.7358750347460378,3.28,-1.27,True
2024-07-31,4.17,0.49,6.26,1.8646105409297775,2.35,-1.8199999999999998,True
2024-09-30,2.65,0.5,4.49,1.353731626366076,2.13,-0.52,True
2024-11-30,3.48,0.88,6.07,1.5693101358192687,3.67,0.18999999999999995,True
